"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20","Item21","Item22","Item23","Item24"
"P266",3,3,2,2,2,5,1,2,3,1,3,4,4,2,5,3,5,5,5,5,5,5,5,5
"P267",2,3,2,2,2,1,1,1,4,3,4,1,3,5,1,4,1,5,2,4,4,3,5,4
"P268",5,5,2,5,5,4,1,5,5,1,1,1,5,4,1,5,2,1,1,2,2,3,5,2
"P269",1,4,2,5,2,3,5,4,5,5,5,4,5,5,5,5,1,5,5,2,2,3,5,4
"P270",5,5,5,4,5,3,5,5,5,2,4,4,2,4,4,5,5,2,5,5,5,5,5,5
"P271",5,5,5,5,2,1,5,5,5,5,5,5,5,5,3,5,5,4,2,5,1,3,5,4
"P272",5,5,5,4,1,4,2,4,5,5,5,1,5,3,1,1,4,5,5,5,5,1,5,5
"P273",5,5,1,4,5,4,5,4,2,3,4,2,2,5,4,5,1,5,5,3,1,3,1,1
"P274",5,5,5,5,1,5,1,2,2,1,1,1,2,1,4,1,5,4,5,4,4,3,5,1
"P275",1,3,1,5,1,3,5,4,4,5,1,1,3,4,1,4,1,3,1,5,2,2,1,4
"P276",5,5,5,5,5,2,5,2,1,1,4,1,4,1,1,1,4,5,5,5,5,4,4,5
"P277",5,5,2,5,5,2,5,5,5,2,4,5,5,3,4,3,1,2,5,5,5,5,1,5
"P278",4,5,1,4,5,1,5,5,2,3,1,1,5,5,5,5,5,4,3,5,4,3,2,1
"P279",1,1,1,1,1,1,1,2,2,3,4,1,5,5,1,2,1,2,5,1,1,1,1,1
"P280",3,2,5,2,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,5,1,1,1,1
"P281",1,4,1,2,2,3,5,3,2,2,4,1,3,5,2,1,1,5,3,2,2,3,2,5
"P282",5,5,2,5,5,4,1,3,1,1,4,1,1,1,1,1,1,5,1,3,5,4,2,1
"P283",1,3,1,2,4,1,1,2,2,1,1,1,4,5,1,5,5,2,1,2,2,3,2,1
"P284",5,5,5,5,5,5,5,5,2,5,4,5,5,1,3,1,1,3,5,2,2,4,5,4
"P285",5,3,2,2,4,5,5,2,1,2,4,1,1,3,1,1,5,4,5,2,2,5,1,1
"P286",1,1,1,1,1,1,1,1,5,5,1,1,2,1,4,5,1,5,5,5,5,1,2,4
"P287",3,2,2,3,2,1,1,4,4,5,5,1,2,5,1,1,5,2,5,5,2,5,4,4
"P288",3,4,1,2,1,5,1,2,5,5,5,5,5,5,5,5,5,2,5,5,4,3,4,1
"P289",1,5,1,5,5,1,5,5,2,3,5,4,5,5,5,5,2,1,3,2,4,2,3,1
"P290",2,2,1,5,2,1,1,3,5,5,5,4,5,5,4,5,1,1,3,5,4,3,3,1
"P291",5,3,1,4,1,1,5,5,2,5,4,1,5,1,4,1,2,1,5,2,1,3,4,1
"P292",4,3,5,2,5,5,4,2,2,5,1,1,5,5,5,5,5,1,1,5,2,1,5,2
"P293",1,3,2,2,5,3,1,2,4,5,4,2,1,3,4,5,5,5,3,5,5,5,4,4
"P294",5,5,1,2,2,5,5,5,2,5,1,1,4,5,3,1,1,1,1,5,4,1,5,1
"P295",1,3,2,2,1,3,4,2,2,1,4,1,1,3,1,5,5,4,5,5,1,5,5,1
"P296",1,4,1,5,3,5,1,5,1,1,4,1,5,5,1,1,5,3,3,2,5,3,5,5
"P297",5,5,1,4,1,3,1,4,3,5,1,5,5,5,5,1,2,1,3,4,4,4,5,5
"P298",5,5,5,5,2,5,5,5,1,5,1,4,5,1,1,1,5,4,3,5,2,1,3,5
"P299",5,3,5,4,5,4,1,2,5,3,4,5,5,3,4,4,5,5,3,1,4,3,5,5
"P300",5,5,5,5,5,5,5,5,5,3,4,4,2,5,5,4,1,1,1,1,4,1,4,1
"P301",4,4,1,5,2,3,5,1,5,1,1,4,2,1,5,5,4,1,5,2,4,3,2,1
"P302",5,5,5,2,4,5,1,4,1,3,4,1,2,4,1,3,1,2,1,1,1,3,1,1
"P303",2,1,5,2,2,1,1,1,5,5,4,5,5,5,4,5,4,5,5,3,5,5,5,2
"P304",1,2,5,2,2,5,1,2,1,1,1,4,4,5,1,1,1,4,1,5,5,5,5,1
"P305",5,5,1,5,5,5,5,5,5,5,4,2,5,5,5,4,1,1,3,5,5,3,5,4
"P306",4,5,2,5,2,4,5,2,4,1,1,1,1,3,1,1,1,3,1,5,2,5,2,4
"P307",1,1,1,2,1,3,5,5,5,5,4,3,5,1,5,5,5,5,3,2,4,5,5,1
"P308",1,4,2,5,2,3,5,1,5,5,5,1,4,5,1,5,1,1,1,1,1,1,1,1
"P309",5,3,1,5,1,5,5,3,4,5,4,1,3,5,1,4,1,1,1,2,4,1,1,1
"P310",1,5,5,2,3,1,5,5,1,1,1,1,2,5,1,1,4,4,3,5,5,3,5,1
"P311",5,5,5,5,4,5,1,5,5,2,1,5,2,1,1,4,1,1,1,1,2,3,3,1
"P312",5,1,3,5,1,3,5,2,5,5,5,4,5,5,5,5,2,2,1,5,2,3,5,1
"P313",5,5,1,2,4,1,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,4
"P314",1,1,1,2,1,3,1,1,5,5,1,5,4,5,5,3,1,2,1,1,1,1,1,1
"P315",4,2,1,2,5,3,1,2,3,1,1,1,2,2,1,1,1,1,1,3,4,1,1,1
"P316",5,4,3,5,3,4,5,5,2,1,4,1,2,1,1,3,5,3,3,3,2,3,4,4
"P317",5,5,5,2,5,1,5,5,5,1,1,1,2,1,1,4,1,2,5,2,1,5,5,1
"P318",5,5,1,4,5,2,1,4,2,5,1,1,5,5,1,1,5,2,1,2,2,3,2,3
"P319",5,5,5,5,5,5,5,4,4,1,5,1,4,3,5,3,1,2,3,5,2,3,1,1
"P320",3,3,2,2,2,1,5,2,2,1,5,4,1,3,5,1,5,4,5,5,2,1,4,4
"P321",1,2,5,3,2,2,5,2,1,1,1,1,2,1,1,3,1,1,1,5,1,1,1,1
"P322",1,5,1,4,5,2,1,5,4,2,4,1,3,2,3,5,3,2,5,5,5,3,3,4
"P323",5,5,5,4,5,5,5,5,3,5,5,2,1,1,5,3,1,4,1,3,2,3,4,1
"P324",3,5,2,2,2,5,1,5,3,3,1,1,4,1,1,1,1,5,1,1,2,3,5,1
"P325",5,5,2,5,2,5,5,2,4,1,4,1,2,5,5,5,4,5,5,5,5,3,4,3
"P326",5,3,3,5,5,5,5,2,5,5,5,5,5,5,5,5,1,2,1,2,1,1,5,2
"P327",5,5,5,2,4,5,1,4,4,5,5,1,5,3,4,5,5,5,1,5,2,4,4,2
"P328",4,5,1,4,2,4,5,5,2,1,4,1,1,5,1,1,1,1,1,2,5,3,1,1
"P329",5,5,2,4,2,5,1,2,2,3,5,4,5,5,4,4,4,2,1,5,4,5,4,1
"P330",3,5,5,2,5,5,4,5,2,3,1,4,2,2,1,2,5,4,1,2,2,3,5,4
"P331",3,5,2,2,1,4,1,1,4,1,1,1,1,1,1,1,4,2,5,5,5,2,4,2
"P332",3,3,5,4,4,5,1,2,2,1,4,1,5,5,1,5,1,3,5,5,2,4,4,5
"P333",3,3,2,2,4,1,1,5,5,5,4,1,5,5,1,3,5,4,5,5,5,5,5,5
"P334",5,5,3,2,5,4,3,5,2,3,2,4,5,5,4,1,4,2,3,5,5,4,1,2
"P335",5,5,2,1,1,5,1,5,5,5,4,1,2,4,2,4,5,3,1,5,4,4,5,4
"P336",1,4,1,3,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1
"P337",3,1,1,2,2,1,5,5,5,5,4,1,5,5,4,5,1,2,1,2,2,1,1,2
"P338",1,3,1,2,2,1,1,2,5,3,1,4,4,1,5,4,2,1,3,5,5,3,5,5
"P339",3,5,1,2,5,2,1,5,1,3,1,1,1,1,4,3,1,2,3,5,1,3,2,1
"P340",3,1,1,1,1,1,1,1,5,5,1,2,4,2,1,5,5,4,3,5,2,3,5,5
"P341",5,5,5,4,2,3,3,5,5,3,4,1,5,5,4,5,1,1,5,2,1,1,1,5
"P342",5,2,1,4,1,5,2,5,5,3,4,5,5,5,4,5,1,1,1,1,1,3,1,1
"P343",1,5,1,2,1,1,1,1,3,3,1,5,4,1,3,4,4,2,5,2,2,3,3,4
"P344",5,1,1,5,2,1,4,5,1,3,1,1,2,1,3,1,5,1,5,5,5,5,5,5
"P345",5,4,3,1,4,4,1,2,5,5,1,1,2,5,4,5,1,3,5,5,4,4,4,5
"P346",3,5,1,5,1,5,5,4,5,2,1,4,5,5,2,3,1,3,1,3,2,1,3,1
"P347",3,2,1,2,2,5,1,2,4,1,1,1,5,4,4,5,2,1,5,2,1,5,5,5
"P348",3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,4,5,5,5,2,1,1,2
"P349",5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,3,1,1,5,1,2,5,1,2
"P350",5,4,2,4,1,1,5,5,2,5,4,1,5,3,1,1,1,1,2,2,2,1,1,3
"P351",5,5,5,5,5,5,5,5,2,3,4,1,1,3,1,1,5,2,3,5,2,3,4,4
"P352",4,3,1,5,2,3,1,2,5,2,2,4,2,1,1,1,1,2,1,5,2,4,5,2
"P353",5,5,1,3,2,5,5,3,2,1,1,1,3,1,1,1,4,5,1,2,5,2,1,5
"P354",3,3,5,5,2,4,5,5,2,3,4,1,2,3,5,4,5,3,5,5,2,3,4,4
"P355",5,3,1,5,3,4,1,5,3,5,1,1,2,5,5,4,1,1,1,5,4,3,4,1
"P356",1,4,2,2,1,1,1,2,1,1,4,1,1,1,1,1,5,5,5,5,4,5,5,4
"P357",3,3,1,2,2,3,1,2,1,1,1,1,1,1,1,1,5,4,1,3,1,5,5,5
"P358",1,1,1,5,2,1,1,1,5,1,4,5,4,1,1,5,5,2,1,1,5,4,4,4
"P359",5,5,5,5,4,5,1,5,1,1,1,5,2,3,1,1,1,5,3,2,1,1,1,3
"P360",5,5,1,5,5,4,5,5,1,3,1,1,1,1,1,1,1,3,1,3,1,4,1,5
"P361",5,5,5,2,5,5,5,4,2,5,1,5,5,5,1,4,1,5,1,1,1,3,4,1
"P362",1,3,1,2,1,5,5,2,5,5,5,4,5,5,5,5,1,3,1,5,2,1,2,1
"P363",5,3,5,5,5,4,5,5,2,5,4,1,2,1,1,3,2,5,5,5,5,3,3,4
"P364",1,3,2,2,5,1,4,5,5,5,5,5,5,3,5,5,1,5,1,2,2,4,4,4
"P365",1,5,1,2,1,1,5,2,5,5,5,5,5,5,4,5,5,5,3,5,4,5,2,4
"P366",4,3,1,2,5,3,2,2,5,3,4,5,5,5,5,4,1,3,3,2,4,1,5,1
"P367",5,2,5,2,4,3,5,4,5,5,4,5,5,5,1,5,5,2,5,3,4,3,4,2
"P368",5,5,5,5,5,4,5,5,1,1,1,1,4,5,1,1,1,4,5,5,1,4,5,1
"P369",5,5,5,2,3,5,5,4,1,5,4,5,5,5,5,5,2,2,2,1,2,3,5,1
"P370",5,1,5,5,5,5,4,5,1,1,4,5,1,1,1,5,2,4,2,5,4,3,2,4
"P371",5,5,5,5,5,5,5,5,4,1,1,1,2,1,1,4,4,5,1,3,4,3,5,1
"P372",5,5,5,2,5,5,5,5,5,1,4,4,5,3,1,4,5,5,5,5,5,5,5,5
"P373",5,3,1,5,5,5,5,1,4,1,1,1,2,2,4,3,4,1,1,1,5,1,2,1
"P374",5,5,5,5,2,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
"P375",5,3,5,5,2,1,5,2,4,5,5,4,5,3,1,5,1,5,1,2,1,3,1,1
"P376",3,2,5,2,2,5,5,2,5,1,1,1,1,5,1,1,1,2,5,5,5,5,5,4
"P377",5,4,5,5,1,5,5,5,2,5,4,4,1,3,4,5,1,2,1,3,2,1,1,1
"P378",4,5,3,5,5,3,5,4,5,1,4,1,3,1,5,3,1,1,2,5,2,5,5,1
"P379",5,4,5,5,2,5,1,2,5,2,4,1,5,5,1,5,5,5,5,5,4,3,5,4
"P380",5,1,1,2,1,4,1,1,5,1,3,2,1,3,1,3,1,2,1,5,2,1,3,1
"P381",5,3,1,2,1,5,5,5,4,1,4,4,5,5,3,3,5,5,5,5,5,5,5,2
"P382",5,4,5,4,2,5,5,5,5,5,5,4,2,1,5,1,1,1,1,4,2,1,4,1
"P383",5,5,5,5,5,5,5,5,2,1,5,1,4,1,3,2,1,5,5,5,5,5,1,4
"P384",1,5,1,5,5,1,1,1,2,2,4,4,2,1,1,3,1,2,5,2,4,5,2,2
"P385",5,5,1,5,5,5,5,5,1,1,1,4,2,1,5,1,2,5,5,5,3,3,5,1
"P386",5,3,1,2,5,3,5,4,2,3,4,1,1,1,1,4,1,4,2,2,2,1,1,2
"P387",5,1,5,4,5,5,5,2,5,5,5,5,4,5,1,5,2,2,1,5,4,4,1,1
"P388",5,4,1,2,5,5,5,1,5,5,4,5,2,5,5,1,2,3,1,5,1,3,1,1
"P389",3,2,1,2,1,3,1,2,3,1,5,1,1,1,1,4,5,5,5,5,5,5,5,5
"P390",5,5,5,5,5,4,5,5,4,5,4,1,1,5,1,5,1,3,2,2,4,5,1,5
"P391",5,5,5,2,5,1,2,5,4,5,1,4,2,3,5,4,1,1,3,5,4,3,2,5
"P392",1,1,1,1,1,1,1,2,2,5,4,5,4,2,1,4,2,3,3,2,4,3,5,3
"P393",3,3,2,5,2,5,5,2,5,5,4,4,4,4,4,5,1,5,5,5,1,5,4,1
"P394",5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,1,1,2,4,3,5,4
"P395",5,3,1,5,3,5,5,5,1,3,1,1,5,5,2,1,1,1,1,2,1,1,1,1
"P396",1,3,5,2,2,5,5,1,4,5,4,4,4,1,5,5,4,4,3,5,5,5,5,5
"P397",5,3,1,5,2,5,5,2,1,5,4,5,2,1,4,4,1,5,1,2,1,1,2,1
"P398",2,3,2,1,5,3,3,5,4,5,4,1,1,1,4,4,1,5,3,5,5,3,5,5
"P399",1,5,2,2,2,3,1,2,2,1,4,4,5,5,4,5,4,2,5,5,5,4,2,2
"P400",5,5,5,2,5,5,2,2,5,1,4,5,5,5,5,5,1,1,5,3,1,2,1,1
"P401",5,5,5,1,3,5,1,5,4,1,1,1,2,1,1,1,2,4,3,5,1,3,4,1
"P402",1,2,1,2,4,1,1,3,4,2,4,1,4,5,4,5,2,5,5,5,4,3,5,2
"P403",5,5,5,5,5,5,5,2,1,1,1,1,1,1,3,1,1,5,3,2,2,1,1,1
"P404",1,2,1,5,2,4,5,1,4,1,4,1,2,3,1,3,4,1,3,3,4,3,4,4
"P405",5,5,1,2,5,5,5,2,5,5,4,1,2,5,5,3,5,1,5,5,4,3,3,5
"P406",1,3,1,1,2,4,1,2,4,5,1,1,2,4,1,5,1,1,1,2,1,3,4,1
"P407",1,3,5,5,1,4,1,2,5,3,4,5,5,3,4,5,1,1,3,3,1,3,1,1
"P408",5,4,1,5,4,1,5,5,4,1,1,1,2,5,1,5,1,3,5,5,2,1,4,4
"P409",1,4,1,5,5,1,1,1,5,5,4,4,4,5,5,4,1,1,1,1,2,1,4,3
"P410",3,3,1,2,4,4,5,5,2,2,1,1,5,5,4,1,4,3,3,5,2,3,5,4
"P411",3,5,3,5,2,5,5,5,2,5,5,4,5,5,4,5,5,1,1,5,2,4,5,4
"P412",1,2,5,4,2,1,1,4,5,3,1,1,3,5,4,3,4,4,5,2,5,4,5,4
"P413",1,5,1,2,1,1,1,3,3,5,1,1,1,1,1,4,1,4,3,1,3,3,4,4
"P414",5,3,2,5,5,3,1,2,2,3,4,1,1,5,5,1,4,2,3,2,2,4,1,4
"P415",3,5,5,1,5,3,5,5,2,3,1,1,2,1,1,4,2,1,1,2,2,1,4,5
"P416",5,5,1,5,4,2,5,5,5,3,5,1,5,5,5,5,5,5,5,2,5,3,5,1
"P417",5,5,5,2,5,3,5,4,5,2,1,1,1,1,1,4,1,1,5,5,2,1,2,4
"P418",4,5,5,5,5,5,5,5,5,2,4,5,5,5,1,3,4,4,1,3,2,1,2,1
"P419",5,4,5,5,5,5,5,5,4,3,4,1,2,5,4,4,5,5,5,2,5,3,4,5
"P420",1,3,1,1,1,3,1,3,2,2,4,1,1,1,1,1,1,4,3,2,5,1,5,1
"P421",5,3,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,5,5,5,2,1,3,1
"P422",3,2,1,5,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,5,2,1,1,4
"P423",5,5,2,2,1,3,5,1,2,5,1,1,3,5,1,5,2,1,1,1,4,1,4,1
"P424",1,5,2,5,5,5,1,4,5,2,5,1,2,1,1,5,1,5,5,2,4,1,4,4
"P425",5,5,5,5,5,5,5,5,1,2,1,1,2,1,1,1,5,5,5,5,2,3,4,4
"P426",5,5,1,4,5,5,5,5,3,3,5,1,1,1,1,3,5,4,5,3,2,3,5,1
"P427",1,1,1,2,1,1,1,2,5,1,4,4,5,5,4,5,1,2,5,5,5,1,5,4
"P428",5,3,1,2,2,4,1,1,4,1,4,3,2,2,1,4,4,5,5,1,2,5,5,2
"P429",5,3,2,5,5,3,5,5,2,1,4,1,4,5,1,4,1,1,3,3,5,3,5,1
"P430",3,2,1,5,1,1,5,4,5,5,4,5,2,5,1,4,1,5,5,5,5,5,5,5
"P431",5,5,5,2,2,5,5,2,3,5,5,5,5,2,5,4,1,2,5,3,4,1,1,2
"P432",1,5,5,4,2,4,5,1,5,5,4,1,2,1,4,4,4,5,1,3,4,1,5,5
"P433",5,3,1,2,5,1,5,5,5,5,4,4,5,5,4,5,1,1,1,1,2,3,1,1
"P434",5,2,3,4,1,1,1,4,2,1,1,1,2,1,2,5,5,1,4,2,2,2,1,4
"P435",3,5,1,5,5,5,5,5,5,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1
"P436",3,2,2,5,5,4,2,5,5,2,1,5,4,5,1,3,1,1,3,2,5,5,3,2
"P437",5,2,1,4,1,5,1,1,1,1,2,4,2,2,1,4,1,1,1,2,2,3,1,1
"P438",3,4,1,2,1,1,5,4,2,1,1,4,3,5,1,3,1,1,1,1,2,1,2,2
"P439",5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5
"P440",1,3,2,2,4,1,5,3,5,5,5,5,5,3,5,5,1,2,1,5,1,1,1,1
"P441",5,5,5,5,5,3,5,5,2,1,1,1,1,1,1,4,4,5,1,5,2,1,5,4
"P442",5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,2,2,5,5,2
"P443",3,2,1,2,3,1,1,2,2,1,1,1,1,5,1,3,1,3,1,2,1,3,1,1
"P444",5,5,1,4,1,3,1,2,2,3,4,1,2,5,1,4,2,3,3,3,5,1,2,4
"P445",5,3,1,2,4,3,1,5,1,3,1,2,5,5,4,5,1,5,1,2,2,1,4,4
"P446",3,5,5,1,5,5,5,5,5,1,5,1,5,3,3,4,1,2,1,2,2,2,2,1
"P447",1,2,1,1,1,3,1,2,2,5,4,1,5,5,1,5,5,3,5,5,5,5,5,3
"P448",1,4,1,2,4,2,1,1,5,5,4,4,2,5,5,5,2,2,5,5,2,4,5,5
"P449",5,4,5,2,2,5,5,2,4,5,1,1,1,1,4,3,5,2,5,2,2,4,4,5
"P450",5,5,5,4,5,5,3,5,2,5,1,1,2,1,1,1,4,5,3,2,1,5,5,5
"P451",5,1,1,1,5,4,5,5,5,1,4,1,5,5,5,5,4,2,5,3,2,3,2,1
"P452",5,5,2,2,5,5,5,5,4,1,5,5,2,5,2,4,4,2,1,2,1,5,4,1
"P453",3,2,5,2,1,1,1,2,5,5,5,4,5,5,5,5,5,5,5,3,2,5,5,4
"P454",1,3,2,4,5,5,1,5,5,3,4,1,2,1,3,1,2,1,5,5,2,1,1,1
"P455",1,5,5,4,5,1,4,5,5,5,4,2,5,1,1,4,5,1,3,5,4,4,5,4
"P456",1,1,1,2,2,1,3,1,2,3,5,1,4,5,4,1,1,1,1,1,5,5,1,1
"P457",5,3,1,3,5,4,1,5,5,3,2,1,2,5,4,5,4,4,5,5,5,4,1,1
"P458",4,2,1,2,2,5,1,4,3,5,4,4,5,5,1,4,5,1,5,2,2,2,4,5
"P459",5,5,2,3,5,5,5,5,2,5,4,1,5,4,3,5,2,5,5,5,2,3,5,5
"P460",1,5,1,5,2,1,1,1,2,5,4,4,2,4,4,5,5,2,3,5,2,5,4,4
"P461",5,5,5,5,5,5,5,5,5,1,4,4,5,3,5,5,1,1,5,2,1,3,3,3
"P462",5,5,1,5,5,3,1,5,4,3,4,1,4,5,1,5,5,5,5,5,5,5,4,4
"P463",5,5,2,5,5,1,5,5,4,5,4,4,2,1,1,2,1,1,5,2,4,3,4,4
"P464",3,4,1,1,2,4,1,5,5,5,1,5,5,5,4,5,1,2,1,5,2,2,4,1
"P465",3,5,1,1,1,1,1,1,2,2,1,1,2,4,1,2,1,4,1,3,1,4,1,4
"P466",1,2,1,5,1,1,1,2,2,5,1,4,4,5,3,5,5,5,5,2,4,5,5,4
"P467",5,5,1,5,1,5,1,4,2,5,1,1,5,4,4,1,1,4,5,3,2,4,1,1
"P468",3,5,1,5,2,1,5,2,4,5,4,1,4,3,1,3,1,5,5,1,5,3,5,4
"P469",5,5,5,5,5,4,5,5,5,1,1,1,1,1,4,1,4,1,3,3,4,2,5,4
"P470",5,5,5,2,2,5,2,2,2,5,4,1,2,5,5,1,1,2,5,2,2,1,1,2
"P471",5,5,5,5,2,5,1,4,2,5,4,1,2,5,3,4,1,5,3,5,2,1,1,1
"P472",5,3,1,5,2,1,1,5,2,1,1,1,1,5,1,3,1,1,5,5,4,4,4,5
"P473",1,5,5,2,5,5,1,5,5,1,5,1,5,1,3,5,1,1,1,3,1,5,4,1
"P474",1,3,1,2,2,1,1,4,4,1,4,1,5,4,4,5,1,3,1,2,5,1,3,2
"P475",5,2,2,5,5,4,5,2,1,1,1,1,1,1,1,1,1,4,3,1,1,3,1,1
"P476",5,2,2,2,4,3,5,5,2,5,3,2,4,5,1,4,4,4,5,2,5,1,2,1
"P477",1,4,5,2,5,2,1,2,4,5,1,1,5,3,4,4,1,5,5,5,5,3,5,5
"P478",5,4,2,2,5,4,1,5,2,1,4,2,2,3,1,5,1,4,1,2,2,5,1,3
"P479",5,3,2,5,4,5,2,2,5,5,5,4,5,5,5,5,4,2,5,5,2,3,1,4
"P480",5,5,3,5,5,4,5,5,5,5,5,2,5,5,5,4,1,3,1,5,1,3,4,1
"P481",5,5,4,2,5,5,5,5,4,5,5,5,5,5,3,4,5,1,3,5,1,3,5,2
"P482",5,5,5,5,5,5,5,5,4,1,1,1,2,2,1,1,2,2,5,2,4,5,4,5
"P483",4,5,5,2,5,5,4,1,5,5,1,1,2,4,1,1,4,2,1,5,5,3,4,1
"P484",5,3,1,4,2,1,5,5,4,5,1,4,1,1,4,4,1,2,5,1,2,1,1,1
"P485",5,5,5,5,5,5,5,5,5,2,5,2,5,5,5,5,1,2,1,2,2,1,5,1
"P486",5,5,2,5,5,5,5,5,4,5,1,1,4,5,4,1,4,1,3,2,4,5,4,5
"P487",1,2,1,5,5,4,1,2,5,1,4,1,1,1,1,4,5,5,2,3,5,3,5,1
"P488",1,1,1,5,1,1,1,1,2,1,1,1,1,5,5,1,1,3,3,3,2,2,2,4
"P489",3,5,1,4,2,5,4,5,5,5,1,4,2,5,5,1,1,5,3,1,2,3,1,3
"P490",4,2,5,5,5,4,1,4,5,5,5,5,5,5,5,5,4,5,3,5,5,3,5,2
"P491",5,5,1,2,5,5,5,5,2,5,4,5,4,3,4,4,2,4,1,3,1,5,1,4
"P492",5,3,1,2,2,1,1,1,5,5,4,5,5,1,4,5,1,2,5,5,1,1,1,1
"P493",1,2,1,1,1,3,1,2,5,3,5,4,2,1,1,5,1,1,3,3,1,1,2,1
"P494",3,4,1,5,5,3,1,1,4,2,1,1,2,5,3,5,5,3,5,5,5,3,5,5
"P495",2,2,1,2,1,1,1,1,5,5,4,1,5,5,1,5,2,5,3,2,2,1,1,1
"P496",1,4,1,2,2,1,1,1,2,1,5,2,1,5,5,4,1,1,1,3,1,1,1,5
"P497",5,4,1,2,1,5,5,4,2,5,5,2,5,5,2,5,1,4,3,3,5,3,5,4
"P498",5,3,2,1,4,1,1,4,5,5,4,1,5,5,4,5,1,5,1,3,2,5,1,2
"P499",5,5,5,5,2,5,4,4,1,3,1,2,1,1,5,1,2,4,3,2,2,3,5,4
"P500",5,5,5,5,5,5,5,5,1,5,1,4,2,2,1,3,1,5,3,2,2,3,5,1
"P501",4,5,2,1,5,3,5,4,5,5,5,4,5,5,5,5,1,2,3,2,1,3,1,2
"P502",5,3,1,1,1,3,1,4,2,5,4,1,4,3,4,5,1,1,1,5,5,1,2,5
"P503",5,5,5,5,4,5,1,5,1,1,1,1,2,1,1,3,5,5,1,5,4,4,3,5
"P504",5,5,5,5,1,3,5,1,4,1,1,1,1,5,1,5,2,5,3,5,5,4,4,1
"P505",3,3,1,5,2,4,1,1,5,5,5,1,5,5,1,4,5,5,5,3,5,5,5,5
"P506",5,4,5,2,5,5,5,5,4,5,5,4,4,4,4,5,1,5,3,2,5,5,1,1
"P507",5,3,1,2,2,5,5,2,3,1,4,2,2,5,1,4,4,5,1,2,5,1,1,4
"P508",5,3,1,5,2,1,2,5,2,3,1,1,2,5,1,4,5,5,5,2,2,3,5,4
"P509",5,5,2,5,5,4,5,5,5,1,4,1,1,5,1,4,1,5,3,1,2,3,1,1
"P510",5,2,5,4,2,1,5,4,4,1,1,4,3,1,2,3,1,5,1,1,1,3,1,1
"P511",5,5,2,5,2,4,1,5,4,1,4,1,5,5,2,5,5,5,3,2,2,3,4,3
"P512",4,2,1,2,2,1,1,1,4,3,5,1,1,1,5,4,2,2,1,5,2,3,5,3
"P513",5,5,5,4,2,5,5,5,2,1,5,2,5,2,1,4,2,4,5,3,5,4,5,4
"P514",5,3,5,5,5,1,1,5,2,3,4,1,5,1,1,5,1,3,3,2,1,1,2,2
"P515",5,5,5,5,5,5,5,5,5,2,1,1,3,1,1,5,5,5,5,2,2,5,4,4
"P516",5,2,2,5,5,5,5,5,3,1,4,4,4,1,1,4,1,3,1,1,5,3,4,1
"P517",5,5,3,5,4,2,5,2,5,5,4,2,5,1,1,4,5,5,1,5,1,3,4,4
"P518",5,2,5,5,2,1,5,3,4,3,4,4,5,1,2,1,1,3,5,5,1,3,1,4
"P519",5,5,5,5,2,1,3,4,1,3,1,1,4,5,1,1,1,1,1,2,2,1,1,1
"P520",5,5,5,5,5,3,5,2,5,1,5,2,5,4,5,4,2,5,5,5,5,1,4,2
"P521",4,3,5,2,2,3,5,2,4,1,4,1,4,3,3,1,5,5,5,5,5,5,5,1
"P522",5,5,5,5,5,4,5,2,2,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1
"P523",3,5,1,5,2,3,5,3,2,5,5,2,5,5,1,3,2,1,1,1,4,5,4,1
"P524",5,5,1,5,5,1,5,5,5,3,1,1,5,1,3,1,5,1,1,5,2,3,1,1
"P525",5,5,5,5,5,4,5,5,2,1,1,1,2,4,1,1,1,1,3,1,2,5,1,4
"P526",5,2,1,1,1,4,1,2,1,1,1,1,1,3,1,4,1,3,1,2,2,3,4,4
"P527",5,3,1,4,1,1,1,2,2,1,1,1,1,1,1,3,4,5,1,5,4,5,4,3
"P528",5,5,5,5,5,3,5,2,2,1,1,1,1,5,2,1,4,3,1,2,4,3,2,2
"P529",5,5,2,5,5,1,5,5,2,1,1,1,2,1,1,1,5,2,5,5,5,3,5,3
"P530",4,3,2,5,1,3,5,5,2,1,1,2,1,2,2,1,1,1,3,1,4,1,1,1
"P531",4,5,1,5,2,5,4,5,1,1,1,1,1,1,1,1,1,1,5,2,2,4,4,5
"P532",5,5,1,2,5,5,5,5,2,5,4,5,5,4,1,3,5,2,5,1,2,5,2,1
