"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18"
"P347",3,4,3,3,4,3,3,2,3,3,3,3,3,3,2,3,1,3
"P348",1,3,2,3,2,3,2,3,3,2,2,1,2,4,3,3,3,4
"P349",4,4,2,4,4,4,3,2,3,1,2,3,2,2,2,2,2,2
"P350",3,2,1,3,2,2,4,3,3,4,3,3,3,4,4,3,4,4
"P351",4,5,4,3,3,2,3,3,3,4,3,4,2,2,3,3,3,2
"P352",1,2,2,2,2,2,5,4,4,3,3,4,3,2,3,4,3,3
"P353",2,3,3,4,3,3,4,4,4,4,3,4,4,4,4,4,5,4
"P354",2,4,3,3,3,3,4,4,4,3,4,4,3,3,3,2,3,3
"P355",2,1,2,3,2,3,3,2,3,4,4,3,3,3,3,3,4,2
"P356",4,4,4,3,4,4,3,3,3,4,3,5,4,4,4,2,4,2
"P357",3,2,2,2,2,3,4,3,4,4,4,2,4,4,3,3,4,3
"P358",5,3,2,4,4,5,2,4,4,2,3,3,3,3,3,3,3,3
"P359",5,5,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,2
"P360",3,3,4,4,3,3,2,3,3,3,4,2,4,3,3,3,3,3
"P361",4,4,4,5,3,4,3,2,2,2,2,2,4,4,3,4,4,3
"P362",2,3,2,3,2,2,4,4,5,3,4,4,3,3,3,3,2,4
"P363",2,3,2,3,3,2,2,3,3,4,3,3,2,2,3,2,3,2
"P364",3,3,3,3,3,4,3,2,2,2,3,2,2,3,4,3,2,3
"P365",4,3,2,3,3,3,3,3,2,3,3,3,4,4,2,4,4,4
"P366",2,3,2,3,3,2,3,4,3,3,3,3,3,3,4,3,2,3
"P367",3,3,3,3,3,3,3,4,3,2,4,3,2,2,2,2,3,3
"P368",2,4,3,4,4,3,4,4,3,4,3,3,4,3,3,3,2,3
"P369",3,2,2,3,3,3,2,3,3,2,3,3,3,4,4,4,3,3
"P370",3,3,2,4,4,4,4,3,4,2,3,4,3,3,4,3,3,4
"P371",2,3,2,3,2,3,3,4,2,3,2,2,4,3,3,4,3,3
"P372",2,1,3,3,3,4,4,3,3,3,2,4,3,3,3,3,4,3
"P373",1,2,2,2,2,1,3,3,3,2,3,2,1,3,3,3,4,3
"P374",3,1,2,3,2,3,4,3,3,2,3,2,4,3,4,3,3,3
"P375",3,4,4,3,3,3,2,3,3,4,4,3,3,3,4,4,3,4
"P376",3,2,2,4,3,2,3,3,3,4,2,3,3,3,4,4,3,3
"P377",3,4,3,3,3,3,3,3,4,3,4,3,3,2,3,4,3,3
"P378",3,4,3,4,3,4,3,4,4,3,4,4,5,4,3,3,4,4
"P379",2,4,3,3,3,3,3,3,3,4,3,3,3,2,3,2,2,3
"P380",3,4,4,4,4,3,2,3,2,2,2,3,3,3,4,4,3,3
"P381",2,1,4,3,3,2,2,2,4,3,2,3,3,2,1,2,2,3
"P382",1,1,2,3,2,2,2,4,3,3,3,3,3,3,2,3,4,3
"P383",3,3,4,2,2,3,4,3,4,3,3,5,3,4,4,4,4,4
"P384",2,2,2,2,2,2,5,4,4,4,3,3,2,3,4,3,2,3
"P385",3,3,2,4,3,3,1,1,1,2,3,3,3,3,3,3,4,3
"P386",2,3,3,2,3,3,1,3,2,2,2,3,3,4,3,4,4,3
"P387",3,4,4,3,2,2,3,3,3,3,4,3,2,3,3,3,3,3
"P388",3,2,3,3,3,4,3,4,3,2,3,4,3,3,1,3,3,3
"P389",3,2,3,4,3,3,3,4,3,3,4,4,2,3,2,3,3,3
"P390",3,3,3,4,4,4,2,3,3,3,3,3,2,2,2,2,2,2
"P391",3,3,2,3,4,3,4,4,3,4,4,3,4,5,4,4,5,4
"P392",4,2,2,4,2,2,3,3,2,2,2,3,3,3,3,3,2,4
"P393",3,3,3,2,3,2,3,2,2,1,1,3,3,2,1,3,2,4
"P394",3,3,2,3,2,3,2,3,2,2,4,3,3,3,3,2,3,4
"P395",2,3,3,4,3,3,3,3,3,3,3,4,3,3,3,2,2,3
"P396",2,2,2,1,3,3,2,3,2,3,4,3,2,3,3,3,3,4
"P397",3,3,2,2,3,3,4,3,4,3,3,5,3,3,3,3,4,4
"P398",4,3,3,3,4,3,3,4,3,3,3,3,2,3,3,3,3,2
"P399",3,4,4,3,3,3,2,2,3,3,3,2,4,3,3,2,3,3
"P400",3,3,3,3,4,4,3,4,3,3,3,4,3,3,2,2,4,2
"P401",3,4,4,3,3,2,3,4,4,3,4,3,4,4,3,4,4,3
"P402",2,3,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3
"P403",2,1,2,2,1,1,2,3,3,2,2,2,5,4,3,5,5,3
"P404",4,3,3,2,4,4,3,3,4,4,2,4,4,3,4,4,3,4
"P405",3,2,3,2,3,2,3,3,3,4,3,3,4,2,3,3,3,3
"P406",3,4,3,4,4,3,3,4,4,4,2,3,3,3,3,4,4,3
"P407",4,3,3,3,3,3,4,4,4,3,4,5,4,3,4,4,4,4
"P408",4,4,4,4,4,5,3,3,3,4,3,3,4,3,3,4,4,4
"P409",4,3,5,4,4,3,3,2,1,2,1,2,3,4,3,4,3,2
"P410",4,4,5,3,3,4,3,3,4,3,3,3,3,2,2,2,2,2
"P411",2,3,2,3,3,3,3,4,3,3,3,3,3,4,3,3,3,4
"P412",3,4,4,4,5,5,3,3,4,3,4,3,3,2,4,3,3,3
"P413",2,3,4,4,4,3,4,2,4,2,3,3,2,2,3,3,3,2
"P414",2,3,3,4,2,3,4,3,3,2,2,4,3,3,3,3,3,4
"P415",4,4,4,5,3,3,3,3,2,2,2,3,3,4,2,4,3,3
"P416",5,4,5,3,4,4,3,3,3,2,3,3,3,4,5,3,3,3
"P417",3,3,3,3,4,3,3,2,2,3,3,2,3,4,3,4,3,3
"P418",3,3,3,3,4,3,2,3,3,2,4,3,4,4,3,3,4,3
"P419",4,4,3,4,4,5,3,3,3,4,3,3,2,4,4,3,3,3
"P420",3,3,5,4,3,4,3,3,4,2,4,3,3,4,3,3,3,3
"P421",2,3,3,4,2,3,3,4,3,3,2,3,4,4,3,4,3,4
"P422",3,4,4,4,2,4,4,3,3,3,3,3,2,3,3,3,3,4
"P423",2,3,3,4,3,3,2,3,4,4,2,3,3,3,3,2,3,3
"P424",2,2,3,2,2,2,3,4,4,3,3,2,3,3,4,4,3,3
"P425",4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,2
"P426",3,3,3,2,4,4,3,4,4,3,3,4,3,4,3,3,2,3
"P427",3,2,3,2,3,3,4,3,5,4,4,3,2,3,3,2,3,3
"P428",4,4,3,3,3,4,3,3,3,2,4,2,4,4,5,4,4,3
"P429",3,3,3,3,3,2,4,3,4,3,2,4,2,1,3,3,4,3
"P430",3,3,3,3,3,2,2,2,2,1,2,2,3,3,3,4,4,3
"P431",1,2,2,2,2,1,3,4,2,4,4,3,3,3,4,3,4,4
"P432",4,3,4,3,4,3,3,3,4,4,4,4,5,4,4,4,4,3
"P433",3,3,3,2,2,2,3,4,5,3,4,3,4,3,3,4,4,3
"P434",3,5,5,3,5,5,3,2,2,2,2,3,3,2,3,3,3,3
"P435",4,3,3,3,3,3,3,3,4,4,3,2,2,4,4,3,3,4
"P436",2,2,1,1,2,2,4,4,3,4,4,4,3,2,2,3,3,3
"P437",4,3,3,4,4,4,4,4,3,4,3,4,4,3,3,4,4,4
"P438",2,3,2,1,2,3,2,3,4,3,2,3,4,3,3,3,3,4
"P439",5,4,5,4,4,4,3,4,2,3,2,2,3,3,3,3,3,3
"P440",2,2,2,4,3,4,3,2,3,3,2,3,3,2,3,2,3,3
"P441",4,3,4,3,3,3,2,2,3,3,3,2,3,3,4,3,4,4
"P442",4,2,3,3,3,3,3,3,2,2,3,2,3,4,4,3,2,3
"P443",3,3,2,3,3,3,1,2,2,2,3,2,2,4,4,4,3,4
"P444",3,3,3,3,2,2,2,3,2,3,4,3,2,3,2,2,3,3
"P445",3,3,4,4,2,3,3,3,2,3,4,3,3,3,4,4,4,4
"P446",2,1,2,3,3,2,2,2,2,2,2,2,3,3,4,4,4,3
"P447",4,5,4,4,4,5,2,4,3,4,3,4,3,3,2,2,4,2
"P448",3,3,5,5,4,4,4,4,3,3,5,3,3,2,2,3,3,3
"P449",2,1,3,2,4,2,3,3,3,2,4,2,4,4,4,2,3,4
"P450",3,3,3,3,2,3,3,4,3,2,4,4,3,4,4,4,4,3
"P451",3,3,3,5,4,3,2,2,1,2,2,3,2,2,2,2,2,3
"P452",2,1,3,3,3,2,3,2,2,4,2,4,4,3,4,4,4,4
"P453",3,4,3,3,3,3,3,4,5,3,4,3,2,3,3,3,2,3
"P454",4,3,3,3,3,4,4,4,4,4,2,5,2,4,3,4,3,4
"P455",2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3
"P456",4,3,3,4,4,4,2,3,3,3,5,4,4,5,3,3,4,4
"P457",4,4,4,4,4,4,3,4,3,3,3,3,4,4,2,4,4,3
"P458",3,4,4,2,3,3,3,4,4,4,3,3,2,3,3,3,2,2
"P459",4,4,3,3,4,4,4,4,3,3,4,3,4,2,2,2,2,3
"P460",3,3,3,3,3,2,3,4,2,3,2,2,3,3,3,2,3,1
"P461",3,3,3,4,3,3,4,3,3,2,5,4,4,4,4,4,4,3
"P462",2,1,2,2,3,3,3,3,4,3,3,4,2,2,1,2,2,4
"P463",2,4,2,4,3,2,4,3,3,3,3,3,4,3,4,4,5,3
"P464",3,3,3,4,3,3,2,3,3,2,3,4,2,4,3,2,2,2
"P465",2,3,3,2,3,3,4,2,3,3,3,3,3,3,3,2,2,3
"P466",5,3,3,4,4,3,3,3,4,2,3,2,4,4,4,3,3,3
"P467",3,2,2,2,2,3,3,3,3,3,3,3,2,2,3,2,2,2
"P468",2,2,4,2,3,2,4,3,4,4,3,2,3,3,4,3,3,3
"P469",2,2,3,2,2,2,2,2,2,3,2,2,3,3,4,3,3,3
"P470",3,3,3,2,2,2,4,4,4,3,5,3,3,4,3,3,4,2
"P471",4,4,4,4,3,4,4,4,3,4,3,3,4,4,4,4,2,5
"P472",3,3,3,3,3,4,2,3,2,2,2,3,2,2,3,2,2,2
"P473",3,2,1,3,3,3,3,3,2,3,3,3,4,4,5,4,5,4
"P474",3,3,3,4,4,3,4,4,3,4,3,3,3,4,3,4,4,4
"P475",3,2,3,2,2,2,2,4,4,4,3,3,3,2,2,3,4,2
"P476",3,4,3,3,2,2,2,2,2,1,3,3,3,3,3,4,3,4
"P477",3,3,3,3,2,2,3,3,2,3,4,2,4,4,3,3,3,4
"P478",3,2,4,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3
"P479",3,2,3,3,2,2,2,3,2,2,3,2,3,3,3,3,2,4
"P480",4,3,4,3,5,3,4,3,4,4,4,3,2,2,3,2,2,2
"P481",3,3,4,3,3,3,4,4,5,4,4,3,3,3,3,3,2,2
"P482",3,3,3,3,3,3,2,2,2,3,2,3,3,3,4,4,3,3
"P483",4,3,5,3,4,4,4,4,4,3,4,3,3,4,4,4,5,4
"P484",4,4,4,4,4,4,3,3,3,3,4,3,2,3,2,3,3,2
"P485",2,3,4,4,3,3,3,3,3,3,3,2,2,4,4,4,3,3
"P486",2,2,2,2,2,2,4,3,4,4,3,3,3,2,3,3,3,4
"P487",3,3,4,4,2,4,2,4,2,2,1,3,3,3,2,3,3,2
"P488",2,3,3,3,2,3,2,3,2,2,4,3,5,4,4,4,3,4
"P489",3,3,5,2,4,3,3,3,4,2,4,3,3,2,4,3,2,3
"P490",3,4,2,3,4,2,2,3,4,3,3,3,3,3,3,4,3,3
"P491",2,4,3,3,4,3,3,2,3,3,3,2,2,2,3,2,2,3
"P492",4,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3
"P493",2,4,4,3,2,4,2,3,3,3,2,2,2,3,3,3,2,3
"P494",3,4,4,4,3,3,3,4,3,3,3,3,4,3,4,3,4,3
"P495",2,3,1,2,2,3,3,3,3,3,5,3,2,2,2,2,4,1
"P496",3,4,3,4,3,3,3,3,3,3,2,4,2,3,2,2,3,4
"P497",3,4,4,2,4,4,3,2,2,2,1,1,2,4,3,2,2,2
"P498",2,3,3,3,2,2,5,2,4,3,2,3,5,4,3,4,4,5
"P499",4,4,4,3,3,4,2,3,2,2,4,3,4,4,3,4,4,4
"P500",4,3,3,3,3,4,3,4,4,2,3,3,4,3,3,3,3,3
