"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","criterion","known_group"
"P326",2,3,3,3,3,4,3,4,3,3,3,3,3,3,2,2,-2.35,0
"P327",3,3,4,4,4,2,2,2,1,3,2,2,3,4,3,3,-0.66,0
"P328",3,3,2,3,3,2,2,2,2,2,2,3,4,2,3,3,-0.26,0
"P329",3,3,3,4,3,3,3,2,1,2,4,2,3,1,1,2,-2.59,0
"P330",3,3,2,2,3,4,3,4,3,3,3,3,4,3,3,2,-0.85,1
"P331",3,3,4,4,2,3,4,4,3,3,3,4,3,3,2,4,2.39,1
"P332",3,4,3,3,3,3,3,4,3,3,3,2,3,3,4,3,1.35,1
"P333",3,2,2,2,3,2,2,3,2,3,3,1,3,3,3,2,-1.18,0
"P334",3,3,4,4,3,4,4,3,3,3,2,2,3,1,2,2,0.9,0
"P335",3,2,4,3,3,4,3,3,2,3,2,2,4,4,4,3,-0.02,1
"P336",3,2,3,2,3,3,2,3,3,2,2,3,3,3,2,3,-0.54,0
"P337",3,3,4,3,2,3,3,2,3,3,2,3,3,2,3,3,0.05,0
"P338",3,3,3,3,3,4,5,3,3,4,3,4,2,4,5,3,1.18,1
"P339",3,2,4,2,3,3,3,4,2,3,4,4,3,3,4,3,0,1
"P340",3,2,3,3,3,3,2,2,2,3,3,3,3,2,3,3,-0.26,0
"P341",2,3,2,3,4,2,3,3,3,4,3,4,3,3,2,4,0.09,1
"P342",4,3,3,3,2,3,2,3,3,4,4,4,1,3,5,5,0.7,1
"P343",3,3,3,3,3,2,3,3,3,4,3,2,3,4,3,5,0.44,1
"P344",3,3,4,5,3,4,3,3,4,4,4,3,3,3,3,4,1.4,1
"P345",2,3,3,2,3,3,3,4,3,3,3,3,3,3,2,1,-1.01,0
"P346",3,3,3,2,3,3,2,1,4,3,3,3,2,3,3,3,-0.48,0
"P347",2,2,3,3,3,3,2,2,2,2,1,2,3,2,2,2,-1.48,0
"P348",2,3,2,3,4,2,3,3,3,4,3,3,2,3,3,3,-0.92,0
"P349",4,4,4,4,2,3,4,4,3,5,3,4,3,3,3,4,1.38,1
"P350",2,3,1,2,3,3,2,3,3,3,3,2,3,3,2,2,-0.34,0
"P351",2,2,2,4,5,1,2,2,2,2,3,3,4,3,2,2,0.55,0
"P352",1,1,2,2,4,2,2,3,2,2,3,2,4,2,2,2,-1.13,0
"P353",3,2,2,1,4,2,2,2,3,4,3,3,3,3,3,3,-1.05,0
"P354",4,4,4,3,2,3,4,4,3,3,3,4,3,4,3,2,2.44,1
"P355",4,4,5,3,2,3,3,3,3,3,2,4,3,3,2,4,0.3,1
"P356",3,3,2,4,4,4,3,4,2,3,2,4,3,4,3,3,0.61,1
"P357",2,3,3,3,3,2,3,3,3,4,3,2,4,3,3,4,1.51,1
"P358",4,3,4,3,2,5,4,4,2,3,3,3,3,2,3,2,0.42,1
"P359",4,3,2,3,3,3,3,2,3,3,3,3,4,3,2,2,-0.51,0
"P360",3,4,3,2,4,3,3,3,2,3,2,2,3,2,2,2,-1.88,0
"P361",2,4,3,2,3,3,2,3,2,2,2,2,4,3,3,4,0.1,0
"P362",2,2,2,4,4,2,3,3,2,2,2,3,4,2,3,3,0.68,0
"P363",4,2,3,4,3,3,3,3,4,4,4,3,3,4,3,4,1.75,1
"P364",3,4,4,3,2,3,3,3,4,3,3,3,3,3,4,4,-0.25,1
"P365",3,2,2,3,5,2,2,3,3,4,2,3,3,4,2,4,1.47,0
"P366",5,4,4,3,3,5,4,4,3,4,3,4,3,3,2,3,1.83,1
"P367",2,2,2,4,4,3,2,1,3,3,3,3,4,2,3,4,-0.21,0
"P368",4,2,3,3,3,3,2,4,3,3,3,2,2,3,3,3,-0.95,0
"P369",3,4,3,1,3,3,4,2,2,2,2,2,4,2,3,3,-1.23,0
"P370",3,3,2,3,3,2,2,3,2,3,3,3,3,2,3,3,-0.21,0
"P371",4,4,3,3,3,4,3,4,3,3,2,3,3,3,3,3,-0.28,1
"P372",2,1,2,1,5,3,1,3,3,3,3,3,3,3,2,4,-2.18,0
"P373",3,2,3,2,3,1,1,2,1,2,2,3,4,2,3,2,-1.19,0
"P374",4,4,5,3,3,4,4,3,3,3,4,3,3,4,3,3,0.54,1
"P375",2,2,3,4,3,3,2,3,3,3,2,3,4,3,3,2,0.02,0
"P376",3,3,4,4,2,4,4,5,4,4,5,3,2,4,3,4,0.52,1
"P377",3,4,3,3,2,3,4,4,2,2,3,2,4,2,2,3,-0.46,0
"P378",2,4,3,3,2,3,3,4,3,3,3,3,4,3,3,2,0.12,1
"P379",3,4,4,4,2,4,4,3,4,3,2,3,2,3,2,3,0.3,1
"P380",3,3,2,3,4,3,2,2,4,4,3,4,2,4,4,3,0.26,1
"P381",4,4,3,3,2,3,3,3,3,3,2,2,4,4,4,3,-0.36,1
"P382",5,4,5,5,2,4,4,4,3,4,3,2,3,3,4,3,2.08,1
"P383",3,3,3,2,3,2,3,3,2,2,3,3,3,3,2,1,0.85,0
"P384",2,3,2,2,3,2,1,4,3,2,2,3,4,3,2,2,0.17,0
"P385",3,3,2,2,4,3,3,2,2,1,2,2,5,2,2,2,-1.07,0
"P386",3,2,3,4,2,3,3,3,2,3,2,3,3,4,4,4,-1.12,1
"P387",4,3,3,3,1,4,4,5,4,3,3,4,2,3,3,4,0.76,1
"P388",2,2,3,2,4,2,2,2,3,2,3,3,4,3,3,3,1.98,0
"P389",4,4,2,3,3,4,3,3,3,2,2,2,4,2,1,2,0.37,0
"P390",3,3,3,3,2,5,3,4,2,3,2,3,2,3,2,3,-0.78,0
"P391",2,3,2,3,4,2,2,3,2,2,1,3,3,2,2,3,-0.43,0
"P392",2,2,2,3,4,2,2,2,2,2,2,2,4,2,2,3,-0.98,0
"P393",3,3,4,4,2,4,4,4,3,2,3,4,3,2,3,4,-0.01,1
"P394",3,3,3,2,4,3,2,4,3,2,2,3,3,3,2,3,-0.19,0
"P395",4,4,4,4,2,3,3,3,4,3,4,4,2,4,3,3,1.81,1
"P396",2,3,3,4,4,2,2,3,2,1,2,2,3,2,3,2,-0.24,0
"P397",2,3,3,3,3,3,3,4,2,2,2,3,3,3,3,3,-0.54,0
"P398",4,4,3,3,2,4,4,4,4,4,4,4,3,4,4,4,0.95,1
"P399",3,3,3,4,2,4,3,3,3,2,3,2,4,3,4,4,-1.99,1
"P400",3,3,4,3,3,3,4,5,2,2,3,2,3,2,3,2,-0.45,0
