"Row","F1","F2","F3"
767,-0.2761,-0.4653,1.7487
768,0.4041,0.1234,-0.8137
769,0.2593,-0.1388,0.7746
770,2.3871,1.5329,0.8345
771,-1.6041,0.8007,0.5106
772,0.9053,0.5444,0.4329
773,-0.7259,-0.167,-1.7895
774,1.9684,1.2755,1.5341
775,0.0302,1.1586,-0.1067
776,-1.0497,-0.4163,-1.7646
777,2.0148,0.4103,1.7932
778,0.2606,1.0775,0.2918
779,-0.8958,-0.2853,-0.3076
780,2.1339,-0.3333,0.8059
781,1.2502,0.9832,0.8762
782,0.8047,-0.1692,0.6318
783,0.1481,0.5056,-1.0808
784,-0.4674,1.5382,0.7873
785,0.9675,-1.2822,1.0979
786,1.0926,1.2515,-0.3545
787,-1.2891,-0.391,0.4099
788,-0.304,-1.833,1.115
789,-0.2363,-0.0179,1.5006
790,-0.7551,0.7793,0.1948
791,-0.1302,-0.4174,-0.4898
792,-0.3474,-0.2046,0.3855
793,-1.2331,-0.6017,-0.6063
794,0.8539,-0.1022,-0.2076
795,0.7668,-0.4032,0.8004
796,-1.0234,-1.5771,-1.0473
797,1.2026,0.6277,0.473
798,0.5566,1.4045,-0.3862
799,-0.8746,-0.6061,-0.1805
800,-0.9506,-1.6971,-0.4453
801,-0.9823,-0.1647,-0.2654
802,0.6959,0.4271,0.9023
803,1.1037,0.6138,0.1963
804,-0.3205,0.027,-0.9694
805,-1.4882,-0.7417,-0.0015
806,-0.3067,0.4121,0.5163
807,0.3342,1.3521,1.1322
808,0.245,0.6916,-0.0427
809,-0.7439,-0.9344,0.4667
810,-0.5693,-0.5321,-0.7442
811,-0.2498,1.1649,-0.6938
812,-0.0871,0.5585,0.0562
813,-0.1719,-0.5716,1.0205
814,0.643,0.9063,1.3801
815,1.6556,0.4968,-0.1014
816,1.087,1.1842,0.5253
817,0.7882,-0.0865,-1.7963
818,0.6544,1.3915,1.5733
819,0.2938,1.2038,1.0467
820,0.452,-0.3059,-1.0816
821,0.0217,-0.0017,-1.7493
822,-0.8095,0.605,-0.4148
823,-0.7521,-1.8783,1.9622
824,0.9698,0.0903,1.4837
825,-0.9865,-0.5267,0.794
826,2.0542,0.0325,0.3422
827,-0.6446,-0.1687,0.7199
828,-0.7627,-1.8792,-1.5954
829,0.7924,0.3658,0.6747
830,0.1212,-2.5254,-0.7457
831,-1.0184,0.204,-0.0332
832,-2.5302,0.2361,-1.7706
833,1.0933,-0.1786,-0.9329
834,1.2653,-0.091,-2.3671
835,0.301,-0.2447,-0.3295
836,2.8498,2.3551,-0.4445
837,0.2221,-1.4747,0.2916
838,1.8963,-0.1212,0.7686
839,-0.7216,-1.5303,0.0682
840,-2.4671,-1.421,0.8378
841,-2.4571,-0.0849,-2.3957
842,-0.4986,-1.0159,-0.9028
843,-0.2045,0.616,-1.2155
844,-1.1091,1.0584,-0.5854
845,0.7495,0.9148,1.2716
846,1.1944,0.6196,1.6068
847,-0.3556,0.0152,0.1647
848,0.7603,-1.0256,0.3615
849,-1.1086,-0.3616,-0.0771
850,0.9359,0.0879,0.2732
851,-2.5055,-1.3308,-1.8252
852,-1.7052,-0.8713,-1.7161
853,-0.4381,0.1163,-0.1876
854,-0.3735,1.5515,1.082
855,0.2609,0.5091,0.6781
856,-1.2529,-1.1454,-0.0392
857,1.6639,2.2137,-0.6431
858,0.3836,-0.8848,-0.1143
859,-1.4543,-0.4072,-0.2305
860,-1.9735,-0.1293,-2.1193
861,2.4125,2.6909,2.3005
862,0.7375,-0.8141,0.0299
863,1.0573,1.3161,-0.6292
864,-0.1957,-0.8621,-0.2341
865,-0.1855,-0.9624,0.0848
866,0.9886,2.1838,1.2048
867,-0.4969,0.0301,1.8852
868,1.4233,0.2461,-0.8457
869,0.0197,0.405,-0.6027
870,1.0167,1.0487,0.5268
871,2.5888,1.4678,1.056
872,-1.536,-0.0667,-1.2664
873,0.3125,-0.4381,-0.0715
874,-0.8315,-1.5334,0.9547
875,-0.6226,0.9111,-0.4159
876,-0.9767,-0.9458,1.0548
877,0.0333,-1.4916,-1.1892
878,0.5123,-0.5228,-0.7928
879,0.3416,-1.6077,-0.2999
880,0.4254,1.6692,0.0101
881,-0.4281,0.5658,-0.3777
882,0.6455,-1.5059,-0.8022
883,-1.5398,-0.5164,-1.5633
884,0.3578,-0.0769,-1.0509
885,0.6814,-0.896,1.3893
886,-2.0165,-0.8623,-1.5801
887,1.3719,1.3837,1.4742
888,-0.5148,-0.4274,-0.1659
889,-0.5203,-0.3928,-0.4774
890,-0.1558,-0.8914,-0.9105
891,-1.101,-1.1484,-0.1217
892,-1.9032,0.0835,1.3137
893,0.2037,0.3993,-0.0059
894,0.0848,1.2976,0.007
895,-0.5529,1.2606,0.3424
896,0.9295,2.3607,1.2758
897,2.6172,0.1629,1.3437
898,-0.1128,0.4354,1.5996
899,-0.8238,-0.1693,-1.1365
900,1.4706,0.7926,-0.1381
