"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","attention_check","response_time_sec"
"S330",3,4,4,2,4,2,5,1,2,1,1,1,1,2,3,1,3,201.5
"S331",5,2,3,2,2,5,3,4,3,1,2,2,4,4,4,4,3,219.9
"S332",5,4,5,5,5,4,2,5,4,4,3,4,5,2,4,4,3,390.8
"S333",4,2,1,3,4,2,4,3,1,5,3,4,2,3,3,4,3,129.6
"S334",3,1,2,1,2,1,2,3,4,2,4,3,2,2,5,5,3,152.9
"S335",2,2,2,2,3,2,1,1,3,2,4,1,2,1,4,5,3,206.6
"S336",4,4,2,5,4,4,4,3,1,4,2,1,4,4,1,3,3,345.6
"S337",4,5,5,5,5,5,2,5,5,4,5,5,5,4,3,5,3,309.2
"S338",5,3,3,2,5,4,2,5,3,3,3,4,3,3,2,2,3,125.9
"S339",NA,NA,5,5,3,NA,3,NA,1,NA,2,3,1,2,3,NA,3,94
"S340",2,2,1,1,1,3,4,1,1,1,1,1,1,1,1,2,3,232.4
"S341",2,4,4,2,2,5,5,4,3,4,5,3,4,5,4,2,2,278.4
"S342",3,3,2,2,2,3,1,3,2,4,1,3,3,4,1,1,3,287.9
"S343",5,2,2,4,4,2,2,4,5,5,5,5,4,5,3,4,3,146.3
"S344",5,4,4,1,2,1,3,1,2,2,3,4,4,1,2,3,3,119.6
"S345",4,4,5,1,1,4,5,5,2,4,2,2,4,2,4,5,3,188.2
"S346",1,1,1,3,1,2,3,1,4,3,4,2,2,2,3,3,3,132.2
"S347",5,3,4,5,5,5,2,3,2,2,1,2,3,3,2,2,3,109
"S348",3,4,5,5,2,3,3,2,2,2,3,4,1,2,4,3,3,213.8
"S349",4,4,4,3,4,1,3,3,4,2,3,3,2,2,3,4,3,150
"S350",2,3,1,2,1,4,3,2,4,4,1,2,3,1,3,1,3,127.3
"S351",4,2,3,4,2,4,1,3,2,4,5,4,3,1,4,2,3,189.2
"S352",4,5,3,2,2,4,1,1,2,3,2,2,1,1,5,5,3,251.9
"S353",2,1,1,1,2,1,2,3,5,4,4,4,4,5,3,2,3,136.5
"S354",1,1,1,1,1,1,2,1,2,1,3,1,1,5,3,4,3,144.9
"S355",3,4,5,4,5,5,2,2,1,2,1,3,4,3,4,2,3,242.2
"S356",2,3,2,4,2,5,3,3,5,2,5,1,1,1,3,2,3,201.9
"S357",4,2,4,3,3,4,4,3,2,1,1,1,4,4,1,1,3,129.6
"S358",5,4,4,2,4,2,4,2,3,5,2,1,1,1,1,4,3,153.1
"S359",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,155
"S360",4,5,3,4,2,1,5,1,2,2,2,2,1,2,1,2,3,287.8
"S361",1,1,2,2,3,1,2,1,3,1,1,2,1,4,1,3,3,161.6
"S362",2,1,4,3,3,3,2,1,1,3,1,1,1,1,1,1,3,115.4
"S363",4,3,2,5,5,4,4,1,1,3,3,2,4,1,1,3,3,83.7
"S364",5,5,4,4,3,4,5,5,2,4,4,5,1,4,4,5,3,304.4
"S365",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,205.3
"S366",4,4,5,2,5,2,1,5,4,2,4,4,3,4,5,2,3,79.8
"S367",5,5,5,5,5,4,5,2,3,2,2,3,3,3,5,5,3,220.8
"S368",2,1,1,1,1,1,2,1,4,3,3,2,2,3,4,4,3,150.9
"S369",2,4,3,2,2,2,5,1,3,2,1,1,1,3,1,1,3,258.6
"S370",4,2,1,3,2,2,4,2,1,4,1,1,1,1,1,2,3,256
"S371",2,1,1,1,2,3,2,3,5,2,5,5,5,4,5,2,3,160.6
"S372",1,1,1,1,1,2,5,2,1,2,1,1,3,3,5,2,3,156
"S373",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,175.6
"S374",2,2,2,3,3,1,5,1,3,1,2,1,3,2,5,5,3,165.9
"S375",4,5,4,5,5,3,2,5,5,5,3,2,4,2,4,3,3,151.8
"S376",1,4,2,4,3,3,3,5,5,3,2,3,4,5,3,1,3,161.1
"S377",4,3,1,2,3,2,2,4,3,3,5,2,2,3,4,4,3,206.2
"S378",3,1,3,3,3,1,4,1,1,2,2,3,3,1,2,1,3,32.1
"S379",2,4,2,3,4,5,4,5,3,5,4,4,3,2,1,1,3,285.3
"S380",2,2,2,1,3,1,1,2,5,3,4,5,2,3,2,5,3,206
"S381",1,1,1,1,2,1,1,1,2,1,1,4,1,1,2,2,3,523.3
"S382",5,2,5,4,4,5,5,5,5,4,2,4,3,1,4,1,3,178.9
"S383",3,3,5,4,4,5,3,4,2,4,4,5,4,4,4,2,3,208.3
"S384",1,2,2,3,5,1,2,1,2,1,1,1,1,2,4,3,3,329.4
"S385",3,5,3,3,4,5,4,2,5,4,2,2,4,3,4,4,3,283.1
"S386",4,4,3,5,4,4,2,1,2,4,3,2,3,1,4,4,3,398.3
"S387",2,3,2,2,4,1,2,1,1,3,1,2,3,1,2,1,3,56.3
"S388",2,5,4,5,3,1,3,5,2,3,2,1,2,3,5,2,3,158
"S389",4,4,2,5,3,4,3,4,3,5,2,1,5,5,1,5,3,108.6
"S390",2,5,3,1,4,5,1,4,4,3,2,2,2,4,1,1,3,103.3
"S391",1,3,2,1,5,1,3,2,5,1,1,1,1,2,5,3,3,239.5
"S392",4,5,4,3,2,3,5,4,4,4,2,3,4,4,5,1,3,142.1
"S393",2,1,1,2,3,1,4,1,1,1,2,2,1,1,1,4,3,185.7
"S394",4,4,2,4,4,5,1,1,2,3,3,3,3,2,4,3,3,106.9
"S395",1,5,4,2,1,1,3,2,3,5,2,4,5,4,5,5,3,281.7
"S396",3,2,3,4,2,3,5,5,5,5,3,5,5,5,5,3,3,261
"S397",5,5,4,5,4,4,1,5,5,3,5,3,4,4,3,4,3,89.1
"S398",2,4,4,4,2,5,3,3,4,2,2,4,2,3,3,2,3,204.3
"S399",5,2,3,5,5,3,3,5,5,1,2,2,1,1,1,2,3,257.3
"S400",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,357.5
