"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20","attention_check","response_time_sec","criterion","known_group"
"P233",3,2,3,2,4,3,4,5,3,5,5,1,2,5,4,4,4,4,5,3,3,140.4,0.927,"High"
"P234",1,2,4,2,3,2,1,1,1,1,1,2,1,1,3,4,3,3,1,3,3,207,-0.612,"High"
"P235",5,4,3,4,4,2,5,3,4,5,4,4,2,2,3,3,1,2,3,1,3,282.5,1.418,"High"
"P236",2,5,3,3,2,5,1,1,4,4,3,1,4,4,4,1,4,1,4,2,3,139.5,0.132,"High"
"P237",3,2,3,2,4,1,5,3,4,5,2,5,4,2,3,3,2,5,4,1,3,143.2,1.255,"High"
"P238",2,5,3,3,3,5,4,3,3,2,2,1,2,2,5,3,3,5,3,2,3,86.3,1.091,"High"
"P239",2,3,2,3,5,2,2,3,3,NA,2,5,2,4,1,1,3,1,NA,5,3,154.8,0.345,"High"
"P240",4,4,5,5,5,2,1,4,1,1,1,1,2,2,2,2,3,3,1,1,3,182.3,-0.443,"High"
"P241",3,2,2,4,1,2,2,5,3,2,1,4,4,4,1,4,3,4,3,4,3,176.7,-0.24,"Low"
"P242",1,4,2,1,2,1,5,2,2,2,1,1,3,3,2,4,2,4,1,2,3,377.6,-0.141,"Low"
"P243",5,2,5,3,5,5,1,4,5,4,4,3,5,2,2,4,4,5,5,2,3,365.9,0.608,"High"
"P244",2,2,1,3,1,1,2,4,3,5,1,4,5,3,5,1,1,4,3,2,3,248.7,-1.027,"Low"
"P245",2,1,4,NA,3,3,5,1,1,1,4,1,3,1,5,1,1,1,2,1,3,144.3,-0.625,"Low"
"P246",3,1,2,1,4,4,4,3,1,2,1,3,2,1,5,2,3,4,5,2,3,139.7,-0.545,"Low"
"P247",4,1,3,3,2,2,3,4,4,2,4,1,2,2,4,3,5,4,5,3,3,125.5,-0.118,"High"
"P248",4,5,5,NA,5,3,1,4,3,3,4,3,5,4,1,3,5,3,3,4,3,89.5,1.427,"High"
"P249",5,4,2,5,4,3,3,1,1,3,1,1,1,2,3,5,1,5,4,2,3,216.7,0.471,"High"
"P250",2,3,3,4,1,3,3,3,3,3,1,4,3,3,4,2,2,1,1,1,3,74.4,0.413,"Low"
"P251",5,3,5,4,5,4,2,4,3,4,3,2,1,2,3,4,4,4,3,2,3,182.1,0.028,"High"
"P252",5,4,5,5,5,4,3,2,2,1,3,3,1,4,5,3,2,1,2,4,3,180.8,0.45,"High"
"P253",5,NA,3,5,5,3,2,5,5,5,5,3,4,3,5,2,2,1,3,1,3,256.5,0.223,"Low"
"P254",2,5,5,3,4,5,3,5,4,4,2,2,2,4,3,1,1,1,3,2,3,397.5,0.374,"High"
"P255",3,5,NA,5,4,3,4,5,3,4,3,4,4,3,2,3,3,2,1,4,3,299.1,1.972,"High"
"P256",3,3,4,4,4,2,3,2,1,1,1,1,4,2,5,3,3,1,1,1,3,253.7,0.368,"High"
"P257",1,2,3,4,4,1,3,3,1,2,4,1,2,1,2,5,5,3,2,1,3,250.8,-0.051,"Low"
"P258",1,2,1,3,3,4,3,3,4,4,2,5,3,1,4,4,3,1,3,4,3,103.1,-0.217,"High"
"P259",1,2,1,1,5,NA,4,1,3,1,2,NA,2,1,3,1,4,2,1,3,3,135,-1.597,"Low"
"P260",4,5,5,3,4,3,3,3,2,2,5,3,2,4,3,5,2,3,NA,3,3,229.6,1.297,"High"
"P261",3,4,5,3,4,2,3,4,3,2,5,4,5,2,4,5,4,4,5,5,3,122.8,1.112,"Low"
"P262",2,5,1,5,3,3,3,2,1,5,1,4,4,3,4,1,3,1,2,1,3,249,-0.343,"High"
"P263",5,4,5,4,5,4,1,5,5,5,5,5,5,5,1,4,5,2,5,2,3,317.3,2.189,"High"
"P264",2,2,1,2,2,1,4,3,1,3,2,3,1,2,2,4,3,5,4,1,3,18.9,-1.359,"Low"
"P265",3,2,4,3,1,2,3,3,3,NA,4,5,3,4,4,4,3,2,5,4,3,134.2,-0.116,"Low"
"P266",5,3,2,4,3,4,1,1,2,2,1,1,1,4,5,1,1,1,1,1,3,92.1,-0.447,"High"
"P267",3,4,2,3,3,2,5,1,1,1,1,1,2,1,4,4,2,1,1,4,3,283.4,-1.613,"Low"
"P268",3,5,5,4,5,5,1,4,2,3,2,3,4,5,1,5,5,4,5,3,3,353.4,1.209,"High"
"P269",5,4,5,5,3,5,2,2,5,5,5,5,5,3,5,3,3,2,2,2,3,220.1,-0.353,"High"
"P270",4,4,3,2,3,2,3,2,4,3,2,4,5,4,3,3,2,1,3,2,3,240.2,0.033,"High"
"P271",5,1,5,3,3,3,5,5,4,2,5,3,1,3,5,3,1,1,3,1,3,119.8,-0.361,"High"
"P272",4,1,2,4,1,2,3,2,4,3,2,5,4,3,1,5,5,NA,5,5,3,22.3,-0.235,"Low"
"P273",4,4,5,2,2,5,3,3,5,2,5,3,2,2,5,2,2,1,1,1,3,110.7,1.237,"High"
"P274",5,5,3,NA,NA,5,3,4,4,3,5,1,3,2,1,3,5,4,5,5,3,116.6,0.141,"High"
"P275",5,5,5,4,5,5,2,4,5,5,4,NA,3,4,2,5,4,5,5,4,3,211.9,0.043,"High"
"P276",3,2,4,4,5,5,1,3,2,3,5,3,3,4,3,4,1,3,2,1,3,315.8,0.998,"High"
"P277",4,5,4,3,3,2,2,5,5,3,5,2,1,3,5,2,1,2,3,2,3,200.1,-1.119,"High"
"P278",1,3,NA,2,1,3,5,3,5,5,2,4,4,5,3,3,2,1,2,5,3,116.9,0.808,"Low"
"P279",NA,5,3,3,5,5,2,3,2,NA,3,3,2,4,3,5,4,5,4,5,3,122.3,1.112,"High"
"P280",1,4,3,2,2,3,5,1,1,2,1,1,1,1,2,4,2,4,2,1,3,159.9,0.378,"Low"
"P281",1,1,3,3,5,1,5,4,2,1,2,1,3,1,5,1,5,2,2,1,4,231.6,0.268,"Low"
"P282",4,3,1,2,1,2,2,5,5,5,4,1,1,4,3,5,4,5,4,4,3,89.7,0.403,"Low"
"P283",2,3,2,3,4,1,1,5,5,5,5,2,3,5,2,5,4,5,5,3,3,269.1,-0.457,"Low"
"P284",1,3,1,1,3,1,5,1,1,1,2,2,1,2,1,5,4,4,2,3,3,221.5,-1.655,"Low"
"P285",5,4,3,3,5,4,1,4,3,4,4,5,5,4,5,4,4,3,3,5,3,161.3,-0.149,"High"
"P286",5,4,2,5,2,4,3,2,5,5,4,2,3,4,NA,4,4,3,4,3,3,223.4,0.99,"High"
"P287",4,1,1,1,5,2,3,2,3,2,3,2,2,4,3,1,1,2,1,3,3,172.7,-0.833,"Low"
"P288",3,4,5,2,3,3,3,3,4,2,3,1,2,NA,1,2,2,2,5,3,3,294,0.567,"High"
"P289",2,4,4,4,5,5,1,4,5,5,2,3,3,4,3,5,4,5,5,2,3,133.4,0.739,"High"
"P290",4,2,2,2,4,4,2,2,5,1,2,5,4,5,4,5,5,1,4,2,3,142.7,1.601,"Low"
"P291",2,3,3,4,4,3,4,3,2,3,3,1,4,4,1,4,5,3,2,5,3,329.9,1.624,"High"
"P292",4,1,4,3,2,1,3,1,2,2,2,4,4,4,2,2,2,2,NA,1,3,157.1,-0.624,"Low"
"P293",1,1,1,1,1,2,4,1,4,3,1,4,1,1,4,3,2,1,1,1,3,168.8,-1.229,"Low"
"P294",2,5,4,1,3,2,3,2,2,3,4,2,3,1,2,3,2,2,5,2,3,152.8,-1.279,"High"
"P295",4,3,4,3,5,5,3,3,2,2,1,5,1,4,4,1,1,1,3,1,3,395.9,-0.719,"High"
"P296",3,3,3,2,3,1,3,1,1,3,2,2,4,1,1,5,5,5,3,5,3,175.4,-0.035,"High"
"P297",3,5,2,4,1,1,3,5,3,5,4,5,2,4,3,1,4,3,1,3,3,152.7,0.231,"Low"
"P298",1,1,1,1,1,1,5,1,2,1,1,1,1,2,3,5,2,4,2,3,3,287.5,-2.687,"Low"
"P299",4,4,2,1,2,3,1,3,2,3,4,5,5,5,4,2,2,3,3,3,3,161.1,0.767,"Low"
"P300",2,2,4,5,1,3,4,4,3,4,4,2,2,1,5,2,2,2,3,1,3,287,-0.281,"Low"
"P301",5,4,5,5,3,2,4,5,5,4,4,4,5,5,1,1,2,1,3,2,3,188.1,0.487,"High"
"P302",3,2,3,3,2,4,2,3,5,2,5,5,4,1,5,3,2,1,2,1,3,314.6,0.151,"High"
"P303",5,5,4,2,5,5,2,5,4,2,5,4,5,3,1,5,5,5,5,5,3,268.4,0.952,"High"
"P304",1,1,2,1,3,4,4,2,1,3,1,4,1,1,3,4,1,3,3,2,3,135,0.214,"High"
"P305",1,2,1,1,1,2,5,4,5,4,4,4,5,2,4,2,1,1,1,2,3,300.9,-1.128,"Low"
"P306",1,1,1,3,1,2,2,3,4,5,2,2,4,3,5,3,5,1,1,4,3,377.2,0.125,"Low"
"P307",5,4,3,1,4,4,4,4,5,2,2,2,3,2,2,3,3,1,1,3,3,100.5,0.535,"High"
"P308",5,4,5,5,4,5,1,2,1,1,1,3,2,2,4,2,2,4,3,1,3,141,0.845,"High"
"P309",2,4,3,3,2,3,1,3,4,3,3,1,2,2,3,4,3,2,5,5,3,172.4,0.649,"High"
"P310",1,4,4,3,3,3,5,3,1,4,NA,4,2,1,4,1,3,3,3,2,3,111.6,-0.723,"Low"
"P311",4,2,1,4,1,4,1,4,4,4,4,4,4,4,4,3,2,1,3,3,3,441.3,-0.518,"Low"
"P312",5,5,5,5,5,NA,1,4,3,3,3,4,4,2,5,1,2,2,1,1,3,106.5,0.46,"High"
"P313",5,5,5,4,3,5,2,4,5,5,5,3,4,5,2,5,5,5,1,2,2,204.2,0.884,"High"
"P314",5,4,5,5,5,5,3,3,2,4,1,4,1,1,5,4,4,4,5,2,5,545.5,-0.543,"High"
"P315",1,1,2,1,1,1,4,1,1,1,4,2,3,NA,5,1,1,3,1,1,3,505,-0.365,"Low"
"P316",5,4,4,5,3,5,4,2,1,2,1,4,3,2,2,2,2,3,2,3,3,130.1,-0.054,"Low"
"P317",5,5,5,5,3,4,3,4,5,1,4,5,1,3,5,2,4,4,4,1,3,160.8,0.167,"High"
"P318",5,5,4,4,2,3,4,2,4,2,3,3,3,1,3,2,4,1,4,1,3,159.5,0.831,"High"
"P319",2,1,2,2,2,2,3,4,2,3,2,2,2,3,3,1,2,2,5,3,3,271.7,-0.054,"Low"
"P320",2,2,2,2,2,1,1,3,3,4,3,3,4,1,1,5,4,4,5,4,3,223.8,-0.622,"High"
"P321",1,5,4,5,3,4,1,5,5,4,3,5,4,3,1,5,5,1,3,3,3,231.5,-0.198,"High"
"P322",4,4,4,2,4,2,4,4,5,3,5,4,3,5,5,1,1,1,1,1,3,168.7,0.581,"High"
"P323",1,4,4,1,3,3,4,2,1,2,2,1,2,2,2,1,4,1,3,3,3,83.7,-1.828,"Low"
"P324",4,5,4,3,4,5,3,2,2,3,1,1,3,4,2,4,3,4,3,4,3,82,-0.388,"High"
"P325",3,5,5,3,3,5,1,1,NA,1,5,2,1,4,4,1,3,4,3,3,3,185.1,1.051,"High"
"P326",4,NA,3,2,3,3,5,4,5,5,5,5,3,5,2,5,5,3,4,4,3,141.8,0.182,"High"
"P327",2,2,1,1,4,2,5,5,4,3,3,3,4,4,2,4,2,5,2,4,3,258.2,0.105,"Low"
"P328",3,2,5,3,5,1,2,2,NA,2,3,3,3,2,2,3,2,5,1,2,3,138.9,0.14,"High"
"P329",5,3,5,4,5,5,1,2,3,1,1,1,3,3,3,2,2,1,NA,1,3,18.8,-0.819,"High"
"P330",1,1,3,2,1,1,NA,5,3,2,4,2,2,3,3,5,3,3,4,2,3,158.8,-0.778,"Low"
"P331",4,3,4,2,2,3,5,5,4,4,4,5,1,1,5,2,1,2,2,2,3,143.1,-0.647,"Low"
"P332",1,1,1,1,1,1,5,2,1,2,1,3,4,1,4,1,1,2,4,2,3,168,-0.046,"Low"
"P333",2,1,2,1,NA,3,5,1,1,1,1,2,3,1,5,2,2,5,2,2,3,168.2,-1.137,"Low"
"P334",2,2,5,4,5,3,2,3,1,4,1,3,3,5,4,2,1,2,1,2,3,292.9,0.59,"High"
"P335",3,2,3,1,5,1,2,2,1,2,1,1,1,1,4,4,NA,3,3,4,3,106.1,-0.732,"Low"
"P336",4,3,2,1,5,5,5,3,3,1,5,2,3,3,1,4,5,5,1,2,3,58.8,-0.456,"Low"
"P337",1,4,3,1,1,4,3,2,3,5,1,3,4,1,4,2,2,4,4,4,3,117.6,0.759,"High"
"P338",3,4,2,3,3,4,2,4,3,5,3,2,5,1,2,5,1,3,1,1,3,166.6,-1.119,"High"
"P339",1,2,2,4,2,1,3,4,5,2,4,3,3,4,4,5,5,3,4,4,3,187.2,-0.579,"Low"
"P340",1,2,1,1,2,2,5,NA,5,2,1,3,1,5,4,4,4,2,3,3,3,123.7,-1.868,"Low"
"P341",3,5,4,3,4,4,2,4,4,4,3,2,2,5,2,2,1,3,3,1,3,158.3,1.983,"High"
"P342",3,2,4,2,3,2,3,1,1,1,4,4,2,1,5,4,1,1,3,4,1,162.1,-0.921,"Low"
"P343",4,5,4,5,2,5,2,4,3,5,3,3,4,2,1,4,3,1,3,4,3,170.1,0.499,"High"
"P344",4,4,4,5,5,5,1,5,5,5,5,5,5,3,5,1,1,1,1,1,3,227,2.412,"High"
"P345",4,4,5,5,5,5,1,3,2,2,5,2,1,5,3,3,4,4,1,4,3,168.2,0.013,"High"
"P346",4,1,3,3,2,5,5,1,3,5,5,5,4,2,3,4,3,1,5,1,3,159.5,-0.329,"Low"
"P347",1,2,4,2,4,3,1,5,4,3,NA,5,5,5,4,4,3,5,3,5,3,145.1,2.019,"Low"
"P348",4,3,3,3,3,4,NA,1,5,5,3,3,2,1,5,1,4,1,1,5,3,363.8,-0.545,"Low"
"P349",5,1,3,3,5,4,1,2,1,1,3,3,5,3,3,4,4,2,1,1,3,185.8,0.054,"High"
"P350",3,3,1,1,3,1,1,4,3,3,2,4,4,4,4,1,1,4,4,5,3,274.6,-1.024,"High"
"P351",5,5,5,4,5,4,1,3,5,5,5,3,5,5,4,3,4,4,5,3,3,108,1.039,"High"
"P352",2,3,2,2,NA,2,1,5,3,4,4,3,4,3,3,4,2,2,4,2,3,261.4,-0.873,"High"
"P353",3,5,5,5,4,5,1,5,5,3,4,2,3,4,1,3,3,2,4,2,3,106.8,-0.73,"High"
"P354",1,1,1,3,1,5,5,4,2,4,4,4,4,1,3,4,2,2,1,4,3,159.3,-1.514,"Low"
"P355",3,NA,3,2,2,2,4,4,3,1,3,5,4,4,2,3,2,4,NA,2,3,119.2,0.013,"High"
"P356",4,4,4,2,4,2,5,5,5,5,4,5,5,3,2,NA,2,3,4,5,4,138,1.692,"Low"
"P357",5,4,5,4,5,4,3,4,3,3,2,4,2,1,1,5,4,5,3,5,3,146.4,0.466,"High"
"P358",4,5,5,5,4,5,2,5,3,4,3,5,1,5,5,2,3,5,3,3,3,254.9,0.656,"High"
"P359",5,3,3,4,2,3,1,NA,1,3,3,5,1,3,4,3,1,1,1,3,3,183.9,0.618,"Low"
"P360",4,2,2,3,5,5,5,1,5,1,5,4,4,4,4,3,3,2,4,5,3,136.1,0.266,"Low"
"P361",1,1,3,1,1,2,3,1,1,1,1,1,1,1,5,2,1,1,1,2,3,195.2,0.509,"Low"
"P362",5,5,3,5,4,4,3,5,3,4,2,3,3,3,1,4,2,1,3,4,3,305.9,0.968,"High"
"P363",3,5,4,5,5,4,2,3,1,4,1,4,1,2,5,2,1,1,3,1,3,294,2.295,"High"
"P364",5,3,4,4,NA,5,1,5,5,3,5,5,5,5,4,2,4,5,3,5,3,151.7,1.905,"High"
"P365",4,5,4,4,4,2,2,4,4,3,1,5,2,3,2,4,3,3,4,5,3,151.3,1.88,"High"
"P366",5,5,5,4,4,5,1,3,3,4,4,5,5,5,1,5,NA,4,4,5,3,362.7,0.388,"High"
"P367",5,5,5,5,5,2,1,5,5,4,4,2,3,2,2,5,3,NA,5,5,3,77.1,0.599,"High"
"P368",5,5,5,5,4,3,1,5,2,4,4,5,2,3,2,5,3,4,NA,3,3,116,1.651,"High"
"P369",3,2,1,5,2,2,4,3,1,1,3,3,3,4,2,2,2,4,5,4,3,203.5,0.08,"Low"
"P370",1,3,1,1,2,1,3,NA,4,3,4,1,5,2,2,4,5,5,4,4,3,203,-0.305,"Low"
"P371",2,4,3,2,2,3,1,5,3,4,5,3,4,3,1,4,3,5,4,2,3,274.3,-0.264,"High"
"P372",2,1,1,2,2,1,5,3,4,3,1,1,3,2,5,1,5,4,3,2,3,447.6,-1.278,"Low"
"P373",2,1,2,1,2,2,5,3,5,2,3,2,5,3,5,2,2,1,4,2,3,143.7,-0.393,"Low"
"P374",5,5,NA,5,5,5,2,5,5,5,3,5,4,4,2,2,5,3,5,1,3,321.1,2.248,"High"
"P375",4,4,4,2,5,5,5,1,1,2,3,5,1,4,1,5,5,1,5,3,3,20.6,1.164,"High"
"P376",2,5,3,4,3,2,3,5,4,2,5,2,4,3,2,4,5,4,4,2,3,98.9,-0.816,"High"
"P377",4,3,4,5,5,5,1,5,5,4,3,4,NA,4,4,4,4,4,5,4,3,176.2,0.836,"High"
"P378",3,2,2,1,5,1,5,4,1,1,2,2,1,2,2,2,4,4,4,5,3,335,-1.206,"Low"
"P379",3,1,3,2,3,4,4,1,1,1,1,1,1,5,5,1,1,1,3,5,3,323.7,-1.418,"Low"
"P380",2,4,3,3,4,3,3,3,2,5,5,3,3,3,4,1,2,3,2,1,3,139,0.332,"High"
"P381",5,1,3,2,4,1,3,5,5,4,2,5,5,5,4,1,3,2,3,4,3,277.5,1.672,"High"
"P382",4,2,5,5,3,1,2,2,1,2,2,1,3,4,1,4,3,5,5,2,3,169.1,0.742,"Low"
"P383",1,1,1,1,4,1,4,3,1,1,3,1,1,2,1,4,3,5,4,3,3,156.2,-1.33,"Low"
"P384",5,5,5,5,3,4,1,5,4,2,5,5,2,3,5,2,2,3,2,2,3,233.7,0.854,"High"
"P385",1,1,3,2,1,1,4,2,4,4,5,4,4,4,5,4,2,4,3,5,3,166.7,-0.337,"Low"
"P386",3,5,2,4,4,2,1,4,5,5,5,3,4,4,3,2,5,5,3,2,3,271.5,-0.144,"High"
"P387",1,1,1,1,1,1,5,1,4,1,1,3,3,3,2,3,5,2,3,4,3,213.9,-1.661,"Low"
"P388",1,1,2,1,1,1,4,2,4,1,3,3,1,3,3,3,5,1,3,2,3,122.2,0.068,"Low"
"P389",5,1,1,1,1,2,4,2,5,1,2,2,4,3,1,5,4,4,5,5,3,220.7,-0.57,"Low"
"P390",1,5,3,5,3,2,1,3,4,5,5,3,4,4,1,5,2,5,5,NA,3,370.6,1.939,"Low"
"P391",5,5,4,4,4,NA,2,5,3,5,5,5,5,5,4,5,2,5,5,5,3,142.3,1.138,"High"
"P392",4,1,2,3,2,4,1,5,5,3,5,5,5,5,4,4,3,4,2,1,3,137.8,0.496,"High"
"P393",4,3,4,5,4,5,2,4,3,2,5,2,3,4,2,2,4,5,2,5,3,125,-0.371,"High"
"P394",2,5,4,3,4,2,5,3,2,2,NA,3,1,4,4,4,5,4,4,4,3,139.5,0.206,"High"
"P395",3,3,NA,4,4,3,5,3,2,4,3,4,5,2,2,4,4,2,5,1,3,294.5,1.515,"Low"
"P396",5,NA,2,2,4,3,3,1,2,2,2,3,2,2,5,NA,3,4,1,5,3,205.1,-0.881,"High"
"P397",2,2,2,4,1,3,1,3,2,2,4,3,3,3,1,2,1,3,1,4,3,246.8,-1.259,"Low"
"P398",3,3,1,1,1,2,3,4,4,2,4,4,4,1,4,5,4,1,5,3,3,119.9,-0.628,"Low"
"P399",5,2,4,3,1,3,3,3,1,4,1,2,4,1,5,2,1,2,5,4,3,198.6,0.186,"Low"
"P400",4,3,4,5,5,3,4,5,5,4,4,4,5,3,3,5,5,2,3,4,3,147.6,0.769,"High"
"P401",2,4,2,4,3,1,5,5,3,5,4,5,4,2,1,5,4,5,5,5,3,164.9,0.798,"Low"
"P402",5,5,5,5,5,5,2,3,5,5,2,3,2,1,2,4,2,2,5,5,3,229.5,1.962,"High"
"P403",3,4,3,3,4,3,4,5,5,3,3,3,4,3,3,2,2,1,1,1,3,159.2,0.326,"Low"
"P404",3,5,4,4,3,5,1,NA,1,1,2,2,4,1,2,3,4,3,3,3,3,131.3,1.223,"High"
"P405",5,5,4,3,3,5,1,2,2,5,4,5,5,2,3,3,3,1,2,4,3,114.1,1.158,"High"
"P406",4,4,3,5,3,5,3,5,5,5,5,3,5,4,1,4,4,2,4,5,3,288,2.065,"High"
"P407",1,1,1,1,3,1,5,2,3,2,2,1,1,1,5,1,2,2,1,3,3,200.6,-1.87,"Low"
"P408",2,4,1,2,3,2,5,4,5,3,2,2,1,2,5,1,2,1,2,4,3,199.6,1.659,"High"
"P409",5,5,3,5,5,4,1,3,4,1,4,2,2,1,3,3,2,1,2,1,3,170.2,1.653,"High"
"P410",4,5,5,5,5,5,5,3,3,2,3,4,2,2,3,4,5,4,4,4,3,163.2,0.759,"High"
"P411",4,2,1,4,1,2,4,4,4,4,5,4,5,NA,4,1,2,2,1,1,3,286.4,1.825,"High"
"P412",4,4,4,2,5,3,2,4,3,2,4,4,1,1,4,3,1,5,3,2,3,256.8,1,"Low"
"P413",3,5,2,4,2,4,5,5,2,2,2,1,1,2,3,4,1,4,1,4,3,389.4,-0.369,"Low"
"P414",3,3,1,2,3,3,3,3,1,4,1,3,5,4,3,1,2,NA,3,2,3,193.5,-0.71,"Low"
"P415",4,1,1,2,5,3,2,3,3,5,5,5,5,5,5,1,1,1,4,4,3,145.3,0.521,"High"
"P416",1,1,2,1,2,1,3,4,1,1,2,3,1,4,5,1,1,1,1,2,3,135.3,0.617,"Low"
"P417",3,1,1,2,1,1,5,2,1,4,5,4,1,1,4,3,2,NA,4,5,3,191.3,-0.17,"Low"
"P418",2,3,3,1,4,1,5,5,5,3,4,2,2,4,3,4,4,4,4,2,3,150.6,0.901,"Low"
"P419",1,1,1,2,1,2,5,4,3,1,2,2,2,1,4,3,5,4,2,3,3,164.3,-1.155,"Low"
"P420",3,3,4,4,5,1,3,2,1,4,2,1,1,1,4,4,4,3,5,2,3,226.8,0.263,"High"
"P421",2,1,2,1,1,1,5,5,1,NA,4,4,2,4,4,1,1,2,3,2,3,259.9,-0.503,"Low"
"P422",4,3,5,1,5,5,5,5,3,3,1,2,2,3,1,3,3,4,5,5,3,171.9,-1.75,"High"
"P423",5,3,5,3,4,4,1,2,3,3,3,3,4,2,NA,1,2,1,2,1,3,198.1,0.559,"High"
"P424",3,2,4,3,2,2,1,5,4,3,5,5,4,3,1,5,5,5,3,4,3,126.8,0.373,"High"
"P425",1,1,1,3,3,1,1,4,3,1,2,4,2,1,2,3,5,4,3,2,3,91.7,-1.955,"Low"
"P426",5,5,5,5,2,5,2,4,4,4,4,5,4,4,1,5,4,3,5,5,3,131.4,0.746,"High"
"P427",4,4,5,5,5,4,4,5,5,3,5,5,5,3,5,5,2,5,4,3,3,152.1,0.274,"High"
"P428",1,4,3,2,1,1,5,5,5,4,4,5,4,2,3,5,4,5,5,5,3,177.9,-0.456,"Low"
"P429",5,4,4,4,2,5,2,3,4,5,5,3,1,1,1,5,5,5,4,4,3,166.5,-0.924,"High"
"P430",3,4,1,3,3,1,5,2,5,4,4,2,5,3,5,2,3,1,1,2,3,307.3,-0.341,"Low"
"P431",1,1,2,3,3,1,4,1,1,1,1,1,1,1,5,1,1,1,2,1,3,140.4,-2.051,"Low"
"P432",2,1,3,4,3,3,3,4,3,5,3,5,4,4,2,4,4,3,2,2,3,151.2,0.386,"Low"
"P433",2,4,3,3,2,4,4,1,2,1,1,3,3,4,2,2,1,1,4,1,3,132.6,-0.709,"Low"
"P434",4,5,5,4,5,5,1,5,4,5,5,3,5,5,1,5,4,5,4,5,3,523.6,-0.128,"High"
"P435",1,1,1,4,5,2,5,4,4,3,2,4,3,5,5,3,4,2,4,4,3,108.2,-0.105,"Low"
"P436",4,4,2,4,3,4,4,3,2,5,2,NA,1,2,4,1,1,2,4,3,3,203.9,-1.576,"High"
"P437",5,4,5,5,5,5,1,5,5,3,5,4,5,3,1,4,4,4,5,3,3,206.6,1.15,"High"
"P438",4,4,3,3,4,5,2,5,NA,5,5,5,5,NA,1,5,5,5,4,4,3,192.8,0.931,"High"
"P439",2,1,1,4,1,3,2,5,5,1,5,3,4,2,3,5,4,4,3,4,3,156.6,-2.579,"Low"
"P440",1,1,3,1,3,3,3,3,2,1,3,2,4,2,5,2,1,1,3,1,3,277.1,0.27,"Low"
"P441",5,5,NA,4,2,4,1,1,3,4,3,2,4,5,1,3,3,3,5,5,3,348,1.367,"High"
"P442",4,2,5,2,5,1,3,4,5,3,2,2,4,5,2,5,4,4,3,3,3,84,0.189,"High"
"P443",4,3,3,5,3,3,2,3,1,1,3,4,2,1,5,1,1,2,5,4,3,365.1,0.571,"High"
"P444",4,2,5,5,5,3,2,NA,4,2,4,5,4,3,5,5,3,3,4,2,3,198.7,0.021,"High"
"P445",3,4,2,2,4,5,1,5,5,4,5,5,1,5,NA,NA,3,5,4,5,3,153.8,-1.168,"High"
"P446",3,5,1,1,4,2,1,2,1,2,3,1,3,1,1,3,5,4,5,4,3,148.1,-1.832,"High"
"P447",2,3,1,2,1,2,3,2,1,4,2,3,3,2,5,3,1,3,4,2,3,143.1,-0.476,"Low"
"P448",3,2,4,4,4,1,3,3,2,1,4,5,2,1,1,3,2,5,4,1,3,166.4,-0.03,"Low"
"P449",3,5,1,4,2,5,3,5,5,4,4,3,5,4,1,5,4,4,2,5,3,145.4,-0.001,"Low"
"P450",1,4,3,5,2,2,3,5,5,5,4,5,5,2,1,5,3,5,2,2,3,147.3,0.133,"High"
"P451",3,5,5,4,5,5,3,5,5,5,5,5,5,4,3,5,2,5,5,5,3,464.4,-0.103,"High"
"P452",1,1,1,2,2,1,5,1,3,2,5,2,2,3,4,2,1,2,3,1,3,412,-1.558,"Low"
"P453",1,1,1,2,3,1,5,2,2,1,3,4,2,4,5,2,2,2,1,1,3,263.5,-1.512,"Low"
"P454",4,3,5,4,3,5,3,3,3,2,1,5,1,5,NA,2,4,4,1,3,3,76,0.774,"High"
"P455",1,1,2,4,4,3,4,4,4,4,5,5,2,2,3,1,4,4,2,5,3,37.4,0.853,"Low"
"P456",2,1,2,1,1,1,5,2,1,1,1,4,3,4,3,4,4,2,2,2,3,276.2,-0.106,"Low"
"P457",4,3,3,3,1,5,2,3,1,1,3,4,5,2,3,2,2,3,2,2,3,185.1,-1.165,"High"
"P458",5,2,5,3,4,4,2,3,1,2,4,1,1,2,4,2,3,4,3,3,3,123.9,0.225,"High"
"P459",5,5,5,5,5,5,2,4,3,2,5,2,3,3,1,5,5,5,5,4,3,98.3,1.818,"High"
"P460",1,1,2,1,NA,2,4,1,2,1,1,1,2,3,5,1,1,1,2,1,3,191.1,-1.386,"Low"
"P461",1,3,3,2,4,3,3,2,1,1,1,1,1,1,1,2,5,5,5,4,3,290.9,0.998,"High"
"P462",4,4,4,4,3,1,3,4,4,2,3,2,3,2,3,1,3,3,4,5,3,231.5,-0.146,"High"
"P463",4,4,5,5,5,4,1,3,5,3,4,5,4,4,3,2,1,1,1,4,3,182.1,0.621,"High"
"P464",3,4,4,4,4,3,4,4,3,5,5,2,4,3,1,4,2,1,5,4,3,297.1,0.125,"High"
"P465",4,3,3,4,4,4,3,3,4,3,3,2,4,4,3,5,3,2,3,5,3,342.2,-1.14,"High"
"P466",2,1,1,2,1,2,4,2,1,2,3,1,2,4,5,1,2,1,2,1,3,127.4,-0.006,"Low"
"P467",5,4,5,4,5,4,1,5,5,5,5,4,5,5,5,2,3,2,2,1,3,114.1,0.931,"High"
